ID,ProvName,ProvService,ProvUndiscl,ProvSpanish,ProvStreet,ProvCity,ProvState,ProvZIP,ProvLat,ProvLong,ProvWebsite,ProvPhone,ProvEmail,ProvDescr,LastUpdate
522,"Advantage Dental Group, PC - Beaverton",DEN,FALSE,FALSE,13831 NW Cornell Rd Ste C,Portland,OR,97229,45.52858,-122.81834,https://locations.advantagedental.com/gentech-dentist-11f4bf616650,503-420-5318,,Hours: Mondays through Fridays: 8am-5pm,202108
523,"Advantage Dental Group, PC - Broadway",DEN,FALSE,FALSE,3514 NE Broadway St,Portland,OR,97232,45.53484,-122.62797,https://locations.advantagedental.com/advantage-dental-1c5fda82dc77,503-433-3240,,Hours: Mondays through Fridays: 8am-5pm,202108
525,Advantage Dental Oral Health Center (formerly Gentech Dentist),DEN,FALSE,FALSE,7107 SW Macadam Ave,Portland,OR,97219,45.46876,-122.75822,https://locations.advantagedental.com/index.html?q=97219,503-420-7962,,Hours: Mondays through Fridays: 8am-5pm,202108
526,Advantage Dental Oral Health Center (formerly Gentech Dentist),DEN,FALSE,FALSE,9900 SW Greenburg Rd #240,Tigard,OR,97223,45.44862,-122.77501,https://locations.advantagedental.com/advantage-dental-1c5fda82dc77,503-433-3240,,Hours: Mondays through Fridays: 8am-5pm,202108
527,Advantage Dental Oral Health Center (formerly Gentech Dentist),DEN,FALSE,FALSE,13023 SE 84th Ave,Clackamas,OR,97015,45.42953,-122.57737,https://locations.advantagedental.com/gentech-dentist-00da55a8f3a0,503-420-0294,,Hours: Mondays through Fridays: 7am-5pm,202108
528,Advantage Dental Oral Health Center,DEN,FALSE,FALSE,2150 NE 82nd Avenue,Portland,OR,97220,45.53783,-122.57863,https://locations.advantagedental.com/advantage-dental-66f0010eb0cb,503-405-8882,,Hours: Mondays through Fridays: 8am-5pm,202108
529,Advantage Dental Oral Health Center,DEN,FALSE,FALSE,10535 Northeast Glisan Street #301,Portland,OR,97220,45.52659,-122.55562,https://locations.advantagedental.com/advantage-dental-03b506727cf0,503-427-9942,,Hours: Mondays through Fridays: 8am-5pm,202108
530,Advantage Dental Oral Health Center,DEN,FALSE,FALSE,365 Warner Milne Road,Oregon City,OR,97045,45.33691,-122.59176,https://locations.advantagedental.com/advantage-dental-d507aa72b99e,971-213-2435,,Hours: Mondays through Fridays: 8am-5pm,202108
531,Advantage Dental Oral Health Center (formerly Gentech Dentist),DEN,FALSE,FALSE,5880 NE Cornell Rd Suite D,Hillsboro,OR,97124,45.53354,-122.92137,https://locations.advantagedental.com/gentech-dentist-06ab89e32773,503-420-3997,,Hours: Mondays through Fridays: 8am-5pm,202108
532,Advantage Dental Oral Health Center,DEN,FALSE,FALSE,150 Southeast 3rd Avenue,Hillsboro,OR,97123,45.52184,-122.98576,https://locations.advantagedental.com/advantage-dental-89191ca968d9,503-433-2457,,Hours: Mondays through Fridays: 8am-5pm,202108
533,Advantage Dental Oral Health Center,DEN,FALSE,FALSE,249 NW 3rd Ave.,Canby,OR,97013,45.26355,-122.69598,https://locations.advantagedental.com/advantage-dental-cc21825c0cb3,971-206-6689,,Hours: Mondays through Fridays: 8am-5pm,202108
534,Advantage Dental Oral Health Center (formerly Gentech Dentist),DEN,FALSE,FALSE,605 SE 164th Ave #103,Vancouver,WA,98684,45.61719,-122.50381,https://locations.advantagedental.com/gentech-dentist-e6cfa11c8e1c,360-216-0489,,Hours: Mondays through Fridays: 8am-5pm,202108
535,Advantage Dental Oral Health Center (formerly Gentech Dentist),DEN,FALSE,FALSE,14201 Northeast 20th Avenue #A101,Vancouver,WA,98686,45.72436,-122.65109,https://locations.advantagedental.com/gentech-dentist-80488b460b56,360-209-3566,,Hours: Mondays through Fridays: 8am-5pm,202108
536,OHSU Russell Street Dental Clinic,DEN,FALSE,FALSE,214 N. Russell Street,Portland,OR,97227,45.54064,-122.6684,https://www.ohsu.edu/dental-clinics,503-494-6822,,Open Monday - Friday 8:00 a.m. to 4:45 p.m. After Hours Emergency Line: (503) 494-8311.,202108
537,Multnomah County Billi Odegaard Dental Clinic,DEN,FALSE,FALSE,"33 NW Broadway, Suite 380",Portland,OR,97209,45.52343,-122.67778,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-5770,,"Hours: Monday-Friday, 7:30am-6:30pm",202108
538,Multnomah County East County Dental Clinic,DEN,FALSE,FALSE,600 NE 8th Street,Gresham,OR,97030,45.50261,-122.42361,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-4900,,"Hours: Monday-Friday, 7:30am-6:30pm",202108
539,Multnomah County Mid County Dental Clinic,DEN,FALSE,FALSE,12710 SE Division St,Portland,OR,97236,45.50221,-122.53226,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-3410,,"Hours: Monday-Saturday, 7:30am-6:30pm",202108
540,Multnomah County North Portland Dental Clinic,DEN,FALSE,FALSE,9000 N Lombard St,Portland,OR,97203,45.59234,-122.7573,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-5990,,"Hours: Mon, Tues, Thurs, Fri | 7:30am-6:30pm",202108
541,Multnomah County Northeast Dental Clinic,DEN,FALSE,FALSE,5329 NE MLK Jr Blvd,Portland,OR,97211,45.56206,-122.66157,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-3664,,"Hours: Monday-Friday, 7:30am-6:30pm",202108
542,Multnomah County Rockwood Dental Clinic,DEN,FALSE,FALSE,2020 SE 182nd Ave,Portland,OR,97233,45.50777,-122.47492,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-4988,,"Hours: Monday-Friday, 7:30am-6:30pm",202108
543,Multnomah County Southeast Dental Clinic,DEN,FALSE,FALSE,3653 SE 34th Ave,Portland,OR,97202,45.49607,-122.62988,https://www.multco.us/primary-care-and-dental/dental-clinic-locations-hours,503-988-4410,,"Hours: Monday-Friday, 7:30am-6:30pm",202108
544,Wallace Dental Clinic,DEN,FALSE,FALSE,18139 NE Couch St,Portland,OR,97230,45.52333,-122.47595,https://mywallace.org/services/dental-services/,503-489-1760,,Hours: 8 a.m. to 6 p.m. Monday-Friday,202108
545,Virginia Garcia – Beaverton Central Dental Clinic,DEN,FALSE,FALSE,"12600 SW Crescent St, Suite 190",Beaverton,OR,97005,45.49072,-122.80759,http://virginiagarcia.org/locations/beaverton/,503-718-3675,,Hours: 7 a.m. to 6 p.m. Monday-Friday,202108
546,Willamette Dental Group - Tigard,DEN,FALSE,FALSE,7095 SW Gonzaga Street,Tigard,OR,97223,45.42882,-122.74982,https://locations.willamettedental.com/or/tigard/7095-sw-gonzaga-street.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
547,Willamette Dental Group - Portland - Jefferson,DEN,FALSE,FALSE,1933 SW Jefferson St,Portland,OR,97201,45.51864,-122.69425,https://locations.willamettedental.com/or/portland/1933-sw-jefferson-street.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
548,Willamette Dental Group - Beaverton,DEN,FALSE,FALSE,4925 SW Griffith Drive,Beaverton,OR,97005,45.48353,-122.79534,https://locations.willamettedental.com/or/beaverton/4925-sw-griffith-drive.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
549,Willamette Dental Group - Portland - Weidler,DEN,FALSE,FALSE,220 NE Weidler Street,Portland,OR,97232,45.5341,-122.66318,https://locations.willamettedental.com/or/portland/220-ne-weidler-street.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
550,Willamette Dental Group - Tualatin,DEN,FALSE,FALSE,17130 SW Upper Boones Ferry Road,Durham,OR,97224,45.39617,-122.75455,https://locations.willamettedental.com/or/durham/17130-sw-upper-boones-ferry-road.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
551,Willamette Dental Group - Milwaukie,DEN,FALSE,FALSE,6902 SE Lake Road Suite 200,Milwaukie,OR,97267,45.43427,-122.62431,https://locations.willamettedental.com/or/milwaukie/6902-se-lake-road.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
552,Willamette Dental Group - Hillsboro,DEN,FALSE,FALSE,5935 SE Alexander Street,Hillsboro,OR,97123,45.49767,-122.92133,https://locations.willamettedental.com/or/hillsboro/5935-se-alexander-street.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
553,Willamette Dental Group - Portland - Stark 1,DEN,FALSE,FALSE,13255 SE Stark Street,Portland,OR,97233,45.51957,-122.52654,https://locations.willamettedental.com/or/portland/13255-se-stark-street.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
554,Willamette Dental Group - Portland - Lents,DEN,FALSE,FALSE,8931 SE Foster Road,Portland,OR,97266,45.48075,-122.57028,https://locations.willamettedental.com/or/portland/8931-se-foster-road.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
555,Willamette Dental Group - Vancouver - Mill Plain,DEN,FALSE,FALSE,9609 E Mill Plain Boulevard,Vancouver,WA,98664,45.62041,-122.57371,https://locations.willamettedental.com/wa/vancouver/9609-e-mill-plain-boulevard.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
556,Willamette Dental Group - Gresham,DEN,FALSE,FALSE,1107 NE Burnside Road,Gresham,OR,97030,45.50652,-122.41963,https://locations.willamettedental.com/or/gresham/1107-ne-burnside-road.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
557,Willamette Dental Group - Vancouver - Hazel Dell,DEN,FALSE,FALSE,910 NE 82nd Street,Vancouver,WA,98665,45.68193,-122.66247,https://locations.willamettedental.com/wa/vancouver/910-ne-82nd-street.html,1-855-433-6825,,Hours: Mondays through Fridays: 7:00am-5:30pm; Saturdays 7:00am-4:00pm.,202108
559,Raphael House of Portland,"DVA, TSF",TRUE,FALSE,4110 SE Hawthorne Blvd. #503,Portland,OR,97214,45.51181,-122.619987,https://raphaelhouse.com/,503-222-6222; 503-222-6507,,"Offers immediate safety and a wide range of supportive services for survivors, while working to create lasting change through prevention education: Emergency Shelter, Supportive Services, Youth and Family, Housing Support, Prevention Education.",202108
560,Bradley-Angle House,DVA,FALSE,FALSE,5432 N. Albina Ave,Portland,OR,97217,45.56248,-122.6749,https://bradleyangle.org/,503-281-2442,,Domestic Violence Emergency Shelter.,202108
561,West Women's and Children's Shelter,DVA,TRUE,FALSE,,Portland,OR,97208,,,https://westwomens.salvationarmy.org/,503-731-3900; 503-224-7718,,"Domestic Violence Emergency Shelter. Office Hours: 12:00 AM - 11:59 PM, Sunday",202108
563,Volunteers of America - Home Free,DVA,FALSE,FALSE,3910 SE Stark Street,Portland,OR,97214,45.51908,-122.62236,https://www.voaor.org/find-services/adults-children-and-families/home-free/,503-239-3929,,"EMERGENCY HOTLINE: (503) 771-5503 (MON – FRI, 9AM – 5PM)",202108
564,Russian Oregon Social Services,DVA,FALSE,FALSE,"7931 NE Halsey St., Ste. 304",Portland,OR,97213,45.5341,-122.581734,https://emoregon.org/ross/ross-dv/,503-381-7757,,24/7 crisis line 503-381-7757,202108
565,Gateway Center for Domestic Violence Services,DVA,FALSE,FALSE,10305 E Burnside St,Portland,OR,97216,45.52327,-122.55718,https://www.multco.us/dv/gateway-center-domestic-violence-services,503-988-6400,,not accepting walk-ins due to COVID-19,202108
567,Sexual Assault Resource Center (SARC),DVA,FALSE,FALSE,"4900 SW Griffith Drive, Suite 129",Beaverton,OR,97005,45.48437,-122.79444,https://sarcoregon.org/,503-626-9100,,"Crisis intervention, including phone support and in-person response, is available 24 hours a day, 365 days a year.",202108
568,El Programa Hispano Católico - Project UNICA,DVA,FALSE,FALSE,333 SE 223rd Ave #100,Gresham,OR,97030,45.52033,-122.4343,https://www.elprograma.org/unica,503-232-4448,,"The bilingual crisis line provides 24 hours a day, 7 days a week support for survivors of interpersonal violence. Staff and trained advocates provide crisis intervention, emotional support, safety planning, shelter or motel advocacy, information about protective orders, and assistance in identifying appropriate resources and referrals. The crisis line also serves as an access point for the rest of UNICA’s services.",202108
569,Native American Youth and Family Healing Center,DVA,FALSE,FALSE,5135 NE Columbia Boulevard,Portland,OR,97218,45.57237,-122.60993,https://nayapdx.org/services/critical-services/domestic-violence-healing-circle/,503-288-8177,,"CONTACT: Debbi Northfield, Healing Circle Manager -- 503-288-8177 x 219",202108
570,Clackamas Women's Services,DVA,FALSE,FALSE,256 Warner Milne Road,Oregon City,OR,97045,45.33621,-122.59679,https://www.cwsor.org/safe-place/,24-hour Crisis & Support Line: 888-654-2288,,Domestic Violence Emergency Shelter. 24-hour Crisis & Support Line: 1-888-654-2288. Confidential Chat: https://www.cwsor.org/get-help/. Office: 503-655-8600.,202108
571,SAFE of Columbia County,DVA,FALSE,FALSE,164 Little St.,St. Helens,OR,97051,45.85689,-122.82421,https://safeofcolumbiacounty.org/,503-397-6161,,24 Hour Spanish speaking crisis line: 1-844-953-0441,202108
573,Aging & Disability Services 24hr. Help Line,PHN,FALSE,FALSE,,,OR,,,,,503-988-3646,,,202108
574,Alcohol/Drug Help Line Spanish,"PHN, SPN",FALSE,FALSE,,,OR,,,,https://www.linesforlife.org/alcohol-and-drug-helpline/,1-877-515-7848,,,202108
575,Alcohol/Drug Help Line Teen,PHN,FALSE,FALSE,,,OR,,,,https://www.linesforlife.org/alcohol-and-drug-helpline/,1-877-553-TEEN (8336),,,202108
576,SafeChoice Domestic Violence Program,DVA,FALSE,FALSE,3609 Main Street,Vancouver,WA,98663,45.64766,-122.66737,https://ywcaclarkcounty.org/how-you-can-help/wish-list/safechoice-domestic-violence-program/,360-695-0501; 1-800-695-0167,,"“Walk-In” Hours Monday-Friday 9am-12pm by PHONE only during Stay Home, Stay Healthy order. Call 360-696-0167 to speak to an advocate.",202108
579,"Helping Hands Against Violence, Inc.",DVA,TRUE,FALSE,,Hood River,OR,97031,,,https://www.domesticshelters.org/help/or/hood-river/97031/helping-hands-against-violence-inc,541-386-6603,,"Hotline , Group Counseling/Support Groups , Legal/Criminal Justice System Advocacy , Crime Victim Assistance Advocacy , Community Education , Emergency Shelter , Hospital Accompaniment , Hotline , Group Counseling/Support Groups , Legal/Criminal Justice System Advocacy , Crime Victim Assistance Advocacy , Community Education , Emergency Shelter , Hospital Accompaniment",202108
580,Sable House,DVA,FALSE,FALSE,314 SE Oak St.,Dallas,OR,97338,44.92287,-123.31369,https://www.sablehouse.org/,24 Hour Crisis Hotline: 503-623-4033,,Office: 503-623-6703; 1-866-518-0284,202108
581,Domestic Violence Resource Center,DVA,TRUE,FALSE,"735 SW 158th Ave., Suite 100",Beaverton,OR,97006,45.51396,-122.8403,https://www.dvrc-or.org/,503-469-8620; 503-640-5352,,Domestic Violence Emergency Shelter.,202108
583,Home Forward,DVA,TRUE,FALSE,135 SW Ash Street,Portland,OR,97204,45.52194,-122.67201,http://homeforward.org/,503-802-8300,,Domestic Violence Emergency Shelter.,202108
584,Multnomah County Domestic Violence Coordinator's Office,DVA,TRUE,FALSE,,Portland,OR,,,,http://www.co.multnomah.or.us/dchs/dv/index.shtml,,,,202108
585,EMO Russian Language Domestic Violence Services,DVA,FALSE,FALSE,"7931 NE Halsey St., Ste. 304",Portland,OR,97213,45.5341,-122.58173,https://emoregon.org/ross/ross-dv/,503-777-3437,,24/7 crisis line (503) 381-7757,202108
587,NAYA Domestic Violence Healing Circle,DVA,FALSE,FALSE,5135 NE Columbia Blvd,Portland,OR,97218,45.57237,-122.60993,https://nayapdx.org/services/critical-services/domestic-violence-healing-circle/,503-288-8177 x 219,,"Contact Debbi Northfield, Healing Circle Manager",202108
588,Casa Esperanza,DVA,TRUE,FALSE,,Portland,OR,,,,https://www.nwfs.org/women-and-children-shelter.html,503-974-9882,,Un alivio para las mujeres Latinas que son víctimas de violencia doméstica y para sus hijos menores de edad.. Línea de Crisis (24/7) 503-232-4448,202108
589,YWCA of Greater Portland,DVA,FALSE,FALSE,10305 E Burnside St.,Portland,OR,97216,45.52327,-122.55718,https://www.ywcapdx.org/what-we-do/domestic-violence-services/,503-235-5333,,"The YWCA’s Domestic Violence program supports survivors of domestic violence to achieve personal safety, self-sufficiency, and a renewed sense of hope through our services at The Gateway Center, Home Forward, and the Yolanda Project.",202108
590,Oregon Crime Victims Law Center,DVA,FALSE,FALSE,"7412 SW Beaverton-Hillsdale Hwy, Suite 209",Portland,OR,97225,45.48553,-122.75315,https://www.ocvlc.org/,503-208-8160,,"We are open Monday-Friday, 9 a.m. to 5 p.m. We provide services throughout Oregon with offices in SW Portland, East Multnomah County, and Bend.",202108
591,The Harbor,DVA,FALSE,FALSE,801 Commercial St.,Astoria,OR,97103,46.18888,-123.83442,https://www.harbornw.org/,503-325-5735,,For survivors in Clatsop County. En Español 1-855-938-0584.,202108
592,Choices Hillsboro,DVA,FALSE,FALSE,"315 E Main St, Suite 210",Hillsboro,OR,97123,45.52305,-122.98569,http://www.choicesdvip.com/,503-530-8927,,"Choices facilitates groups from Monday through Saturday at our Beaverton, Hillsboro, and Bend locations, where we currently offer: Men’s Domestic Violence Intervention; Women’s Domestic Violence Intervention; Father's Parenting Program; Mother's Parenting Program; Aggression Control for both Men and Women; Family Violence Intervention for Men and Women",202108
593,Choices Beaverton,DVA,FALSE,FALSE,3861 SW Hall Blvd,Beaverton,OR,97005,45.49235,-122.80698,http://www.choicesdvip.com/,503-530-8927,,"Choices facilitates groups from Monday through Saturday at our Beaverton, Hillsboro, and Bend locations, where we currently offer: Men’s Domestic Violence Intervention; Women’s Domestic Violence Intervention; Father's Parenting Program; Mother's Parenting Program; Aggression Control for both Men and Women; Family Violence Intervention for Men and Women",202108
594,Choices Bend,DVA,FALSE,FALSE,"1900 NE Division Street, Suite 105",Bend,OR,97702,44.06908,-121.30564,http://www.choicesdvip.com/,503-530-8927,,"Choices facilitates groups from Monday through Saturday at our Beaverton, Hillsboro, and Bend locations, where we currently offer: Men’s Domestic Violence Intervention; Women’s Domestic Violence Intervention; Father's Parenting Program; Mother's Parenting Program; Aggression Control for both Men and Women; Family Violence Intervention for Men and Women",202108
595,Saving Grace,DVA,FALSE,FALSE,1004 NW Milwaukee Ave.,Bend,OR,97703,44.06176,-121.3266,https://saving-grace.org/,541-389-7021,,"24-Hour Helpline. Crisis intervention, safety planning, peer counseling, community resources and referrals, access to emergency safe shelter, information about our support groups and counseling services, assistance navigating the legal system, and the opportunity to meet with an advocate in person.",202108
596,Domestic Violence Services Inc.,DVA,TRUE,FALSE,PO Box 152,Pendleton,OR,97801,,,http://www.dvs-or.org/Our-Services,See note.,,"Serving Umatilla and Morrow counties.  Boardman- 541-567-0424, Heppner- 541-276-3322, Hermiston- 541-567-0424, Milton-Freewater-541-276-3322, Pendleton- 541-276-3322.",202108
597,Harney Helping Org for Personal Emergencies,DVA,FALSE,FALSE,85 N. Date Street,Burns,OR,97720,43.58667,-119.05049,http://www.hhope.org/,541-573-2726,,Support for survivors of domestic violence or sexual assault in Harney County.,202108
598,Heart of Grant County,DVA,FALSE,FALSE,"518 S Canyon Blvd
518 S Canyon Blvd",John Day,OR,97845,44.41011,-118.95244,https://www.facebook.com/heartofgrantcounty/,541-575-4335,,Provides comprehensive services to victims and survivors of family violence and sexual assault and promotes the value of living free from violence.,202108
599,Illinois Valley Safe House Alliance,DVA,FALSE,FALSE,103 South Kerby Ave.,Cave Junction,OR,97523,42.16715,-123.64823,http://www.ivsha.org/,541-592-2515,,"24-hour hotline: 541-415-9367. Our hours are Monday, Tuesday, and Thursday, 9-5pm, and Wednesday and Fridays, 9-11am.",202108
600,New Beginnings Intervention Center,DVA,FALSE,FALSE,87127 Christmas Valley Hwy,Christmas Valley,OR,97641,43.23822,-120.68744,https://www.newbeginningsinterventioncenter.com/,541-576-3009,,"24-Hour Hotline: 1-800-850-4838 or 541-576-3051. We serve survivors of domestic violence, sexual assault, and elder abuse, providing comprehensive, confidential services.",202108
601,The SAFE Project,DVA,FALSE,FALSE,1681 Newmark Ave,Coos Bay,OR,97420,43.39127,-124.25881,http://stopabusecoos.org/,541-756-7000 or 1-888-793-5612,,"Office: 541-888-1048. Providing a best practices brand of safety, shelter, education, and empowerment for abused persons that can move them forward to awakened awareness and reclamation of themselves, their lives, and their potential contribution to the world.",202108
602,Center Against Rape and Domestic Violence - Corvallis,DVA,TRUE,FALSE,2208 SW 3rd St.,Corvallis,OR,97333,44.54471,-123.26627,https://cardv.org/,541-754-0110 or 1-800-927-0197,,Main Office: 541-758-0219,202108
603,Center Against Rape and Domestic Violence - Lebanon,DVA,TRUE,FALSE,2122 ½ S Santiam Hwy.,Lebanon,OR,97355,44.5255,-122.90821,https://cardv.org/,541-754-0110 or 1-800-927-0197,,Main Office: 541-758-0219,202108
605,Safe Harbors,DVA,FALSE,FALSE,"401 NE 1st St., Suite B",Enterprise,OR,97828,45.42873,-117.27529,https://www.wcsafeharbors.com/,24-hour help line: 541-426-6565,,"Office phone: 541-426-4004. Open Monday to Thursday 8am to 5pm, Fridays 8am to 1pm.",202108
606,Womenspace,DVA,FALSE,FALSE,1577 Pearl St 2nd Floor,Eugene,OR,97401,44.04239,-123.08954,https://www.womenspaceinc.org/,24-Hour Crisis Line: 541-485-6513 or 800-281-2800,,,202108
607,Siuslaw Outreach Services (SOS),DVA,FALSE,FALSE,1576 W 12th St,Florence,OR,97439,43.97671,-124.10413,https://florencesos.org/,Crisis Hotline: 541-997-4444,,"Office: 541-997-2816. Provides a wide variety of free services for individuals, specifically including Domestic Violence, Emergency Aid Assistance, and a Safe House Shelter.",202108
608,Oasis Advocacy & Shelter,DVA,TRUE,FALSE,,Gold Beach,OR,97444,,,https://oasisadvocacyandshelter.org/,Crisis hotline: 541-247-7600 or 1-800-4471167,,Office: 541-425-5238,202108
609,Women's Crisis Support Team,DVA,TRUE,FALSE,560 NE F St. Suite A PMB 430,Grants Pass,OR,97526,42.43864,-123.3189,http://www.wcstjoco.org/,24/7 Crisis Hotline: 541-479-9349,,,202108
610,Helping Hands Against Violence,DVA,TRUE,FALSE,PO Box 441,Hood River,OR,97031,,,https://www.helpinghandsoregon.org/,24/7 Crisis Hotline: 541-386-6603,advocate@helpinghandsoregon.org,Office: 541-386-4808,202108
611,Marta’s House,DVA,TRUE,FALSE,142 Riverside Dr,Klamath Falls,OR,97601,42.21819,-121.79163,https://martashouse.org/,24/7 Crisis Line: 541-884-0390; 24/7 Rape Hotline: 541-883-7273,,Business Line 541-850-8939 Monday - Thursday: 8:30 am - 4:30 pm,202108
612,Shelter from the Storm,DVA,FALSE,FALSE,10901 Island Ave,La Grande,OR,97850,45.33924,-118.05404,https://www.unioncountysfs.org/,24 Hour Crisis Line: 541-963-9261,,"Office: 541-963-7226 Monday - Friday 8 am -5 pm, closed from 12 pm - 1 pm",202108
613,Lake County Crisis Center,DVA,TRUE,FALSE,726 North First Street,Lakeview,OR,97630,42.19038,-120.34776,http://lakecountycrisiscenter.org/,24 Hour Crisis Lines: 541-947-2449 or 800-338-7590,lccrisiscenter@gmail.com,Office: 541-947-2498,202108
614,Henderson House,DVA,FALSE,FALSE,610 SE First St,McMinnville,OR,97128,45.20832,-123.19293,https://www.hendersonhouse.org/,24/7 Crisis Line: 503-472-1503,,"Office: 503-472-0244 Monday – Friday, 9am-5pm. Serving Yamhill County.",202108
615,Community Works,DVA,FALSE,FALSE,"2594 E. Barnett Rd., Suite C",Medford,OR,97504,42.31582,-122.8363,https://www.community-works.org/,24 Hour Crisis Lines: 541-779-HELP (4357) or 1-855-216-2111,,Office: 541-779-2393,202108
616,My Sisters' Place,DVA,FALSE,FALSE,934 SW 8th St,Newport,OR,97365,44.62808,-124.0625,https://www.domesticshelters.org/help/or/newport/97365/my-sisters-place,24 Hour Crisis Lines: 541-994-5959 or 800-841-8325,info@mysistersplace.us,Office: 541-574-9424,202108
617,Project Dove,DVA,TRUE,FALSE,44 NW 5th Ave,Ontario,OR,97914,44.03089,-116.96201,https://projectdoveor.org/,24/7 Crisis Line: 1-800-889-2000,,Office: 541-889-6316,202108
618,Peace at Home Advocacy Center,DVA,FALSE,FALSE,1202 SE Douglas Ave.,Roseburg,OR,97470,43.20988,-123.33958,https://peaceathome.com/,24/7 CRISIS LINE: 541-673-7867 or 1-800-464-6543,,,202108
620,Center for Hope and Safety,DVA,FALSE,FALSE,605 Center St NE,Salem,OR,97301,44.94259,-123.03328,https://hopeandsafety.org/,24-hour hotline: 503-399-7722,,Office: 503–378–1572,202108
621,HAVEN From Domestic and Sexual Violence,DVA,TRUE,FALSE,PO Box 576,The Dalles,OR,97058,,,https://haventhedalles.org/,24 Hour Crisis Line: 1-541-298-4789 or 1-800-249-4789,haven@gorge.net,Office: 541-296-1662,202108
622,Tides of Change,DVA,FALSE,FALSE,1902 2nd St,Tillamook,OR,97141,45.45712,-123.84443,https://www.tidesofchangenw.org/,503-842-9486,info@tidesofchangenw.org,,202108
623,Avel Gordly Ctr for Healing (OHSU),CTR,FALSE,FALSE,621 SW Alder St. Ste. 520,Portland,OR,97205,45.52014,-122.67882,https://www.ohsu.edu/school-of-medicine/psychiatry/healthcare-and-clinics,New patients: 503-418-5311. Returning patients: 503-494-4745,,"Outpatient psychiatry clinic. Facilitate healing in children, adults, couples, families and community",202108
624,OHSU Adult psychiatry outpatient clinic,CTR,FALSE,FALSE,3181 SW Sam Jackson Park Road,Portland,OR,97239,45.50035,-122.68903,https://www.ohsu.edu/school-of-medicine/psychiatry/healthcare-and-clinics,New patients and evaluations: 503-494-6176 Returning patients: 503-494-8613,,"Expert consultation, evaluation, and treatment for a wide variety of mental health conditions including depression, anxiety disorders, OCD, post-traumatic stress disorder, ADHD, and many others.",202108
625,OHSU Intercultural psychiatric program,CTR,FALSE,FALSE,2214 Lloyd Center,Portland,OR,97232,45.53187,-122.6522,https://www.ohsu.edu/school-of-medicine/psychiatry/healthcare-and-clinics,503-494-4222,,IPP is an expert in providing culturally sensitive mental health services to immigrant and refugee communities.,202108
626,OHSU Child and adolescent psychiatry outpatient clinic,CTR,FALSE,FALSE,700 SW Campus Drive,Portland,OR,97239,45.49805,-122.68601,https://www.ohsu.edu/school-of-medicine/psychiatry/healthcare-and-clinics,503-418-5775,,"OHSU Doernbecher Children's Hospital provides expert mental health care for children and teens. This includes specialty treatment for attention deficit hyperactivity disorder, mood disorders, anxiety disorders and eating disorders.",202108
628,Multnomah County Mental Health Call Center,CTR,TRUE,FALSE,,Portland,OR,,,,https://www.multco.us/behavioral-health/system-care-adults,24 Hour Crisis Lines: 503-988-4888 or 800-716-9769,,Call if you don't have insurance,202108
629,Multnomah Early Assessment and Support Alliance (EASA),CTR,TRUE,FALSE,,Portland,OR,,,,https://www.multco.us/behavioral-health/easa,503-988-3272,,Treatment program for young people who have recently experienced psychosis,202108
630,Old Town Recovery Center (CCC),CTR,FALSE,FALSE,33 NW Broadway,Portland,OR,97209,45.52343,-122.67778,https://centralcityconcern.org/services/recovery/,503-228-7134,,"8 AM to 5 PM Monday-Friday. Specialty mental health care with integrated addiction services for adults. Clinic open to new clients, OHP, Medicare, uninsured.",202108
631,CCC Recovery Center,CTR,FALSE,FALSE,726 W Burnside St.,Portland,OR,97209,45.52286,-122.678,https://centralcityconcern.org/recovery-location/ccc-recovery-center/,503-944-4410,,Phone Hours: 8:30 a.m. to 5 p.m. Monday through Friday. Walk-in hours: 9 a.m. to 5 p.m. Monday through Friday.,202108
